0	indian
1	four
2	am
3	morning
4	paris
5	to
6	what
7	a
8	we
9	some
10	may
11	food
12	me
13	reservation
14	six
15	have
16	moderate
17	price
18	good
19	i'm
20	of
21	french
22	would
23	preference
24	cuisine
25	which
26	spanish
27	i
28	should
29	let
30	look
31	<SILENCE>
32	today
33	book
34	your
35	on
36	can
37	it
38	many
39	will
40	are
41	madrid
42	help
43	eight
44	like
45	bombay
46	italian
47	how
48	any
49	for
50	with
51	make
52	api_call
53	i'd
54	you
55	hi
56	looking
57	expensive
58	be
59	hello
60	love
61	in
62	party
63	options
64	table
65	into
66	where
67	london
68	two
69	people
70	restaurant
71	rome
72	cheap
73	range
74	type
75	please
76	british
77	ok
